Output format is csv.
schema,table_name,size,column_count,index_count,comment
public,ades_codigos_postales,197 MB,13,696,"Catálogo SEPOMEX: 158,088 asentamientos (colonias, ejidos, fraccionamientos) de México. Alimenta la cascada CP→Colonia→Municipio→Estado en formularios de domicilio."
public,ades_asistencias,141 MB,13,696,"Registro de asistencia alumno-clase. estatus_asistencia: PRESENTE, FALTA, TARDE, JUSTIFICADA. El trigger trg_recalcular_desde_asistencia recalcula el componente asistencia en ades_calificaciones_periodo al insertar/actualizar."
public,ades_calificaciones_periodo,84 MB,25,696,Calificación acumulada del alumno por materia y período de evaluación. La columna calificacion_calculada la llena la función calcular_calificacion_periodo(). El ajuste manual (ajuste_manual) lo aplica el director. La columna es_acreditado se recalcula por trigger.
public,ades_tareas_entregas,65 MB,19,696,
public,ades_localidades,46 MB,11,696,
public,ades_personas,5072 kB,28,696,"Tabla maestra de personas físicas del sistema. Una persona puede ser alumno, profesor, tutor o personal administrativo. Contiene datos de identidad, nacimiento y contacto. Columnas sensibles: curp, rfc, email_personal."
public,ades_clases,4296 kB,20,696,
public,ades_tareas,3640 kB,24,696,
public,ades_usuarios,3360 kB,19,696,"Cuentas de acceso al sistema ADES. Se vinculan con Authentik via oidc_sub. nivel_acceso: 1=Admin Global, 2=Director, 3=Coordinador, 4=Docente, 5=Apoyo/Prefecto. Un usuario puede estar asociado a un plantel_id específico (null=acceso global)."
public,ades_inscripciones,1064 kB,14,696,Registro de la inscripción de un alumno a un grupo en un ciclo escolar. Una inscripción activa (is_active=TRUE) es el estado actual del alumno. El historial de cambios está en ades_cambios_grupo.
public,ades_expedientes_medicos,1016 kB,21,696,
public,ades_disponibilidad_docente,912 kB,15,696,"Disponibilidad de docente por ciclo escolar: días, turno y horas máximas. Base para generación de horarios aSc."
public,ades_estudiantes,872 kB,27,696,"Datos académicos y escolares específicos del alumno. Hereda identidad de ades_personas via persona_id. Incluye matrícula única por plantel, nivel socioeconómico, datos de beca y procedencia escolar."
public,ades_usuario_roles,832 kB,7,696,Permite multi-rol. El campo peso determina el rol activo principal (mayor peso = prioridad). Sincronizado JIT con Authentik.
public,ades_alertas_academicas,792 kB,20,696,"Alertas de riesgo académico generadas automáticamente. tipo_alerta: REPROBACION (promedio<6.0), AUSENTISMO (<80% asistencia), RIESGO_ALTO (IA). El campo ia_analisis contiene el análisis generado por Claude."
public,ades_temas,792 kB,15,696,
public,ades_municipios,728 kB,11,696,
public,ades_contactos_familiares,704 kB,25,696,"Familiares, tutores y contactos de emergencia de un alumno. es_tutor_legal=TRUE identifica a quien tiene custodia legal. telefono_principal y telefono_trabajo validados por constraints. Ordenados por columna prioridad."
public,ades_horarios,504 kB,21,696,Horario de clases generado por aSc TimeTables (XML import) o capturado manualmente.
public,ades_materias_plan,408 kB,14,696,Plan de estudios: materias por grado y ciclo escolar. Al insertar aquí un proceso Celery genera las tareas del ciclo.
public,ades_asignaciones_docentes,312 kB,12,696,Asignación profesor↔materia↔grupo. Aplica a todos los niveles. En primaria el titular cubre todas las materias excepto inglés.
public,ades_audit_log,200 kB,19,696,Log inmutable de mutaciones del sistema. Cada fila tiene hash MD5 encadenado para detectar alteración directa. NO hacer UPDATE/DELETE. Retención mínima: 5 años (SEP).
public,ades_reportes_conducta,192 kB,22,696,
public,ades_certificados,160 kB,30,696,Certificados digitales firmados con Ed25519. Cada certificado tiene folio único verificable en /verificar/:folio. estado_firma: PENDIENTE→FIRMADO. La llave privada NO se almacena en BD — vive en .env (FIRMA_CLAVE_PRIVADA_HEX).
public,ades_profesores,160 kB,24,696,"Datos laborales y académicos del docente. Hereda identidad de ades_personas via persona_id. Incluye RFC, cédula profesional, materias que puede impartir y carga horaria."
public,ades_materias,152 kB,18,696,
public,ades_variables_sistema,136 kB,15,696,"Variables de configuración del sistema, administrables desde el módulo Admin sin necesidad de SSH."
public,ades_catalogo_items,128 kB,12,696,Items/valores de los catálogos dinámicos.
public,ades_comunicados,128 kB,23,696,
public,ades_direcciones,120 kB,24,696,"Domicilios de personas (alumnos, profesores, tutores). Integra catálogo SEPOMEX via codigo_postal_id y localidad_id. Incluye geocodificación opcional (latitud/longitud) via Nominatim."
public,ades_paises,120 kB,11,696,Catálogo de países.
public,ades_grupos,120 kB,16,696,"Grupo escolar por nivel/grado/ciclo. capacidad_maxima controla el cupo para cambios de grupo. nombre_grupo = grado + letra (ej: 1A, 2B)."
public,ades_lenguas_indigenas,112 kB,11,696,Catálogo INALI — 68 agrupaciones lingüísticas indígenas nacionales
